en	hil
These three hours chatting with you have been very... interesting. Could you please tell us why we're here?	Masugid mo bala sa amon kon ngaa yari kita diri?
I want a new brand image. Something creative, something strong. Make no mistake, something with... resolve!	Luyag ko ang bag - o nga marka sang marka, butang nga mabakod, kag indi sala, butang nga... malubad!
What is our time frame?	Ano ang aton iskedyul sang tion?
Let's meet on Friday to discuss your progress. Give me your e-mail address... umm, I mean addresses... We'll be in touch.	Matipon kita sa Biernes agod hambalan ang imo pag - uswag, kag hatagi ako sang imo eimail address... umm, buot ko silingon ang mga direksion... nga amon matandog.
May I take yor order now?	Mahimo bala ako karon mag - order sing yor?
Yes, what do you have for appetizer?	Huo, ano ang yara sa imo para sa pag - apelar?
We have caviar, foiegras, lox, cold beef, sour cucumber...	May yara kami caviar, foiegras, lox, mabugnaw nga karne sang baka, nag - lam - os nga mga lumot...
Well, please bring me the cold beef.	Ti, palihug dalhan ako sing mabugnaw nga karne sang baka.
OK, sir. Do you want some soups?	Luyag mo bala nga may sabaw?
Are you voting tomorrow?	Nagamadinalag - on ka bala buwas?
Of course. What about you?	Siempre, kamusta ka?
You know that I am.	Nahibaluan mo nga amo ako.
Where is your polling place?	Diin ka nagasurbe?
It’s at the park up the street.	Nagalibot ini sa parke sa dalan.
Oh, is that right?	Husto bala ina?
Where ’ s your polling place?	Diin mo gina - excoction ang imo ginasurbe?
How come you don ’ t know where it is?	Paano mo mahibaluan kon diin ini natabo?
Nothing came in the mail telling me my polling place.	Wala sing may nag - abot sa koreo nga nagasugid sa akon sang akon duog sang pag - usisa.
You should check online.	Dapat mo usisaon ang Internet.
Oh, really? Thanks, I ’ m going to do that right now.	Salamat gid kay ginahimo ko ini subong.
Why aren ’ t they are aware of the gravity of the situation?	Ngaa nahibaluan nila ang kabug - aton sang kahimtangan?
Because they are rednecks.	Bangod pula ini nga mga emuo.
Sir, I've finished your shaving. Wow, it takes years off you after having a shave.	Sir, natapos ko ang imo pag - istoryahanay.
Really? You've done a good job.	Maayo gid ang imo nahimo.
Thank you. May I suggest you to trim your eyebrows?	Puede ko bala kamo pangabayon nga mag - utod sang inyo mga tud?
I have never heard that men would trim their eyebrows. Are you kidding?	Wala ko gid mabatian nga ang mga tawo magabinang - it sang ila mga kuko.
No, sir, I am serious. Haven't you heard that today men are becoming increasingly interested in having their eyebrows professionally groomed?	Indi, kon kaisa, serioso ako kay wala mo mabatian nga ang mga lalaki karon nangin interesado pa gid sa propesyonal nga mga tawo nga ila gina - utdan sing mga bulong?
Do you mean that it is a trend for men to trim their eyebrows?	Buot mo bala silingon nga isa ini ka huyog para sa mga lalaki nga tabunan ang ila mga kuko?
Absolutely. Several men have tried it in my A shop. Do you want to try?	Madamo gid bala ang nakatilaw sini sa akon balaligyaan?
Yeah, let me have a try.	Yeah, tuguti ako nga tilawan ini.
Can I stay out all night with my friends?	Makalakat bala ako sa bug - os nga gab - i upod sa akon mga abyan?
But we'll be careful.	Apang maghalong kita.
It's out of the question.	Indi ini importante.
I'm sleepy. I can hardly keep my eyes open.	Daw indi ko na mamuklat ang akon mata.
Why don't you go to bed?	Ngaa indi ka magtulog?
I think I will.	Sa banta ko himuon ko ini.
Hi, my sweetheart. It’s Dad.	Gin - akigan sini si Tatay.
Hi, Dad. Where are you?	Hi, Dad.
I ’ m at work right now. You can reach me at 905 675 9870. Please call this number if you need me.	Puede mo ako malab - ot sa 905 675 9870.
Thank you, Dad.	Salamat, Dad.
I love you.	Palangga ko ikaw.
I love you, too, Dad.	Palangga ko man ikaw, si Tatay.
She's a Persian. She has papers and everything. Not like a street dog.	May mga papeles sia kag tanan nga butang, indi pareho sa ido.
Cats chase mice, don't they?	Ginalagas sang mga kuring ang ilaga, indi bala?
And bugs. They can catch anything.	Kag may makuha sila nga bisan ano.
Do you have to walk a cat?	Dapat ka bala maglakat sing kuring?
No, they use litter boxes or go outside by themselves.Thev ' re so smart.	Indi, nagagamit sila sing mga kahon nga basura ukon naga - swee.
But then you have to change the litter box.	Apang dapat mo bag - uhon ang kahon sa basura.
It's better than picking up dog poop.	Mas maayo ini sangsa pag - ilis sing pit poop.
The washing machine isn't working again.	Ang makina sa paghugas wala na nagapanghikot liwat.
It's not my fault.	Indi ini akon sala.
Now we arrive at the Cambridge University, it is one of the oldest universities in the world.	Karon nag - abot kami sa Cambridge University, isa ini sang pinakadumaan nga unibersidad sa kalibutan.
I wish I had studied here. It's more than a university.	Gusto ko kuntani nga magtuon ako diri, indi lang sa unibersidad.
In 2009 Cambridge will come to its eight hundredth anniversary.	Sang 2009, walo ka gatos ka anibersaryo sang Cambridge ang magadangat sa ika - walo nga anibersaryo sini.
Woo. It has such a long history. I think I should take more photos of the university.	Madugay na ini nga nagakatabo kay abi ko dapat ko pa gid ini himuon.
What do you think of our price?	Ano ang masiling mo sa aton bili?
Your price has gone up sharply, hasn't it?	Ang imo bili hinali nga nag - usmod, indi bala?
Yes, we regret we cannot maintain our original price. Since the prices of the raw materials have been raised, we have to adjust the price of our products accordingly.	Huo, nagahinulsol kita nga indi naton mahuptan ang aton orihinal nga bili kay ang presyo sang hilaw nga materyales naghalin sa aton, gani dapat naton bag - uhon ang bili sang aton produkto.
I agree with you there, but you price is unreasonable.	Nagaugyon ako sa inyo didto, apang indi kamo makatarunganon.
I don't think so. You must compare our price with that it other export houses. I'm sure our offer is in line with the prevailing market price level.	Indi ko gid man gusto nga ipaanggid ang amon presyo sa iban nga balay nga may mga imprintahan.
I don't think we will be able to pay the price. To have this business concluded, you need to lower your price at least by 3 %.	Para sa imo, dapat mo buhinan ang imo presyo sing 3 %.
I'm afraid that there is no room for any reduction in price.	Nahadlok ako nga wala sing lugar para sa bisan ano nga pagbuhin sang bili.
Don't you agree with me that in the long run moderate prices we bring about large sales and more profit?	Wala ka bala nagaugyon sa akon nga sa ulihi ang barato nga presyo nga ginadala namon sa daku nga pagbaligya kag dugang pa nga ganansia?
We've already cut down our price to cost level.	Nabuhinan na namon ang amon bili sa bili.
Yes this is the best we can do.	Huo, amo ini ang pinakamaayo nga mahimo naton.
I'm sorry, we can't handle the price you offered.	Ginakasubo ko, indi namon masarangan ang bili nga gintanyag ninyo.
A report says running red lights causes one thousand traffic accidents every year.	Ang report nagasiling nga ang pag - ilig sang pula nga mga suga ginabangdan sang isa ka libo ka aksidente sa trapiko kada tuig.
It’s horrible. Why do drivers run a red light then?	Ngaa nagahaklo dayon sing pula nga suga ang mga drayber?
Maybe they know they shouldn ’ t run a red light, but when they are driving they don ’ t pay enough attention to traffic lights.	Ayhan nahibaluan nila nga ang ila aln non non th may pula nga suga, apang kon nagamaneho wala sila sing mamag - an nga t para sa suga sa trapiko.
Talking on the cell phone while driving is very dangerous too. It increases the chance of accidents.	Ang pag - istorya sa cell phone samtang nagamaneho delikado man, kag nagadugang ini sa tsansa nga maaksidente.
I know. If a policeman catches you using the cell phone while driving, you will be fined.	Nahibaluan ko nga kon madakpan ka sang pulis nga nagagamit sang cell phone samtang nagamaneho, ma - lamahan ka.
Good morning, Miss.Are there boat tickets to Miami on the first of September	Maayong aga, Not.O. nga tiket sa sakayan pakadto sa Angel sa una nga Septiembre
Yes, there are. What cabin would you like?	Ano ang gusto mo himuon?
I'd like the first-class cabin for two. What's the fare?	Daw pareho ako sa una nga payag nga may duha ka kuarto.
It is 150 dollars each.	Ang kada isa sini 150 dolyares.
How long is the boat time-table effective?	Daw ano kalawig ang tion sang sakayan?
The boat time-table is effective from the first of August till the first of November	Ang tion sang sakayan nga indi malab - ot epektibo halin sa nahauna nga Agosto tubtob sa nahauna nga bahin sang Nobiembre
I want to know what port does our ship stop at?	Ano nga pantalan ang ginahapitan sang amon barko?
The ship will stop at New York.	Ang barko magadulog sa New York.
How long will the trip take from here to New York?	Daw ano kalawig ang paglakbay halin diri pakadto sa New York?
It will take 5 days.	Magakinahanglan ini sing 5 ka adlaw.
Did you order the cake?	Ginmanduan mo bala ang keyk?
Oh, I forgot.	O, nalipatan ko na.
Get on the phone right now. It might not be too late.	Mahimo nga indi pa ulihi ang paggamit sing telepono.
I ’ m so sorry! OK, so you just want a simple message on it.	Indi ko gid ini mahangpan, gani gusto mo lang nga may text ka.
Yeah. How about “ Happy Birthday Tony, from the gang. ”	Ang isa ka grupo sang mga tawo nga may mataas nga posisyon sa lawas, nga si Yeah.
I ’ m on it!	Nag - abot ako!
I'd like a hamburger with lettuce and tomato.	Daw kaangay ako sang isa ka todro nga may pal kag kamatis.
How about something to drink?	Kamusta naman ang isa ka butang nga imnon?
A Coke, please.	PAS, palihug.
OK. I'll see if I can get waited on.	OK lang.
thanks, I like it too. I bought it at the nearby department store.	Nagapasalamat gid ako kay ginbakal ko ini sa malapit nga balaligyaan sang departamento.
that's nice. Do you know you can get one at the wholesale market near the zoo for a much lower price?	Nahibaluan mo bala nga makakuha ka sing isa sa mga merkado malapit sa zoo para sa mas barato nga presyo?
yeah, I know that. But at those places. the prices they ask you are ridiculously high, and if you don't bargain hard, you will get ripped-off.	Pero kon piliton ka nila nga mag - obra, mabinanghong ka gid, kag kon indi ka mag - obra, mabang - as ka.
true, learning how to haggle the price is one of the things people have to pick up when they come to China for the first time.	Matuod, ang pagtuon kon paano ibaylo ang bili isa sang mga butang nga dapat kuhaon sang mga tawo kon magkadto sila sa China sa nahauna nga tion.
yeah, but personally, I hate bargaining. If I bargain, I might come to a lower price, but I will never know the true price of what I am buying ; and I always have the feeling that I am overcharged at th	Kon may igasto ako, mahimo nga manubo ang akon sueldo, pero indi ko mahibaluan kon ano gid ang akon ginabakal; kag pamatyag ko daw pirme lang ako nagaka - stress kon i - o ako
yeah, I have the same feeling. Also there is another thing that bothers me the quality. Things in a department store are usually quality-guaranteed. But at a wholesale market, you never know whether w	Amo man sini ang akon ginabatyag kay pirme lang ako gina - stress, pero wala mo mahibaluan kon bala may w ka
that's why I like department stores more. Shopping at a wholesale market like the locals is one of the few things I am unable to grow accustomed to.	Amo kon ngaa nanamian ako sa mga department store kay ang mga balaligyaan sa lainlain nga merkado pareho sang mga tumandok isa sa pila ka butang nga indi ko na maanad.
When will the campus recruitment of L'Oreal being this year?	San - o ang eskwelahan sang L'O Real nga amo sini ang tuig?
According to their scheme, it will begin on September 10th.	Suno sa ila pahito, magasugod ini sa Septiembre 10.
It is really early, isn't it?	Indi bala nga temprano pa ini?
Yes, it is much earlier than past years.	Huo, mas temprano ini sangsa nagligad nga mga tinuig.
Dahua's Market. How can I help you?	Paano ko ka mabuligan?
Where is your store located?	Diin nahamtang ang inyo balaligyaan?
We are on Nanjing Road, next to the theatre.	Yara kami sa Najing Road, malapit saatre.
Right, I'll be right over.	Husto, husto gid ang akon desisyon.
Excuse me. Can you take me to the airport?	Puede mo bala ako madala sa erport?
Which airport, ma'am?	Diin nga erport, ma'am?
All right, ma'am. Need any help with your luggage?	Kinahanglan mo bala ang bulig sa imo mga dala?
Thank you, but I'd rather keep this case with me.	Salamat, apang mas maayo nga taguon ko ini nga kaso.
What do you think a job is?	Ano sa banta mo ang trabaho?
Well, a way to make a living, of course, but beyond that I think a job is a way of developing oneself as a person.	Ti, ang isa ka paagi sa pagpangita sing palangabuhian, sa pagkamatuod, apang labaw sa banta ko ang trabaho isa ka paagi sa pagpalambo sang kaugalingon subong isa ka persona.
I wouldn't like to hold a specific title. I just want to enjoy what I am doing.	Indi ko gusto mag - uyat sing espesipiko nga titulo, kundi gusto ko lang nga malipay sa akon ginahimo.
It's the most important thing to me.	Amo ini ang pinakaimportante nga butang para sa akon.
I think a company is a place to get work done. Certainly friendly, open relationships among all company employees is important, and I think an employee should be serious about his or her work responsibilities and have a professional relationship with the boss.	Sa banta ko ang isa ka kompanya isa ka duog nga sarang mahimo ang trabaho, sa pagkamatuod ang mainabyanon, tampad nga kaangtanan sa tunga sang tanan nga empleyado sang kompanya importante, kag sa banta ko dapat mangin serioso ang isa ka empleyado tuhoy sa iya mga responsabilidad sa trabaho kag may propesyonal nga kaangtanan sa amo.
You'll have a definite answer from us within a week. Goodbye.	May pat - od ka nga sabat sa amon sa sulod sang isa ka semana.
Oh, here comes a bus!	Ti, may bus!
It's here at last!	Yari na ini sa katapusan!
How long have you waited?	Daw ano kadugay ka naghulat?
Twenty minutes exactly.	Beinte minutos gid.
I am so busy today.	Masako gid ako karon.
I ’ m not sure. Perhaps you could do the shopping.	Mahimo nga makabakal ka na lang.
I ’ ll be glad to help.	Nalipay gid ako magbulig kay Oknius.
Or maybe make the beds.	Ukon ayhan ang katre.
All you have to do is to ask for help.	Ang dapat mo lang himuon amo ang mangayo sing bulig.
Thanks. That ’ s terrific!	Salamat gid sa sini!
I ’ m ready and willing to help.	NAHIMO ako handa magbulig kag handa magbulig.
Do you like this dress, madam?	Naluyagan mo bala ini nga panapton, ang pagkabuang?
I like the colour very much. It's a lovely dress, but it's too small for me.	Nanamian gid ako sa kolor sini, pero gamay lang ini para sa akon.
What about this one? It's a lovely dress. It's very smart. Short skirts are in fashion now. Would you like to try it?	Daw ano katahom ini nga bayo kay mas manamit ini kag mas manamit.
All right. I'm afraid this green dress is too small for me as well. It's smaller than the blue one. I don't like the colour either. It doesn't suit me at all. I think the blue dress is prettier. Co	Nahadlok ako nga basi gamay lang ini nga bayo para sa akon kay abi ko mas matahom ang asul nga bayo sangsa asul.
I'm afraid I haven't got a larger dress. This is the largest dress in the shop.	Nahadlok ako nga wala na ako sing mas daku nga bayo kay amo ini ang pinakadaku nga bayo sa balaligyaan.
Wait a minute, please.	Palihug hulat anay.
No, I'd like to book a single room with one double bed.	Indi, luyag ko mag - book sing isa ka hulot nga may doble nga katre.
2 nights, how much does it cost?	2 gab - i, pila ang bili sini?
A single room costs you $ 85 / day.	Ang isa ka hulot nagabili sing ₱ 85 / adlaw.
Does the charge include everything?	Nalakip bala sa panumbungon ang tanan nga butang?
Do you require a deposit?	Nagakinahanglan ka bala sing deposito?
No, You can pay when you check out.	Indi, mahimo ka makabayad kon usisaon mo ini.
What's the date today Mr.Brown. I don't have a calendar.	Wala ako sing kalendaryo.
I don't know what time it is.It must be about 6 o'clock. I have to go now. I don't want to be late.	Indi ko mahibaluan kon ano na ini nga oras, kay mga alas seis na, dapat ako karon magkadto, kag indi ko na gusto nga mag - abot.
You won't be late.It ' s still early.	Indi ka pa magpalantang, pero temprano pa.
Excuse me! How can I get to the post office, please?	Paano ako makakadto sa post office?
Well, turn left at the first corner after the crossroad. It's near the corner. You can't miss it.	Ti, liko ka sa una nga pamusod pagkatapos sang krus sa higad sang dalan, kag indi mo ini mawasi.
It's my pleasure!	Nalipay gid ako!
Hello, stewardess. Could you bring me a blanket? I feel so cold.	Madala mo bala ako sing habol kay daw indi ako makapati nga may mga tulugyanan?
Sure, anything else?	May iban pa bala nga butang?
I'd like a pillow as Well.	Daw pareho ako sang isa ka ulunan.
Have you started cleaning up your room yet?	Natinlo mo na bala ang imo kuwarto?
I haven't gotten started on my room yet.	Wala pa ako sing bata nga nag - abot sa akon kuarto.
When exactly do you plan on cleaning it?	San - o mo gid ini ginplano?
I have every intention of cleaning my room later.	May tuyo gid ako nga tinluan ang akon kuwarto sa ulihi.
I thought I asked you to clean your room earlier.	Abi ko anay pangabayon ko ikaw nga tinluan ang imo kuwarto sing mas temprano.
I already told you that I'm going to do it.	Ginsilingan ko na kamo nga himuon ko ini.
Remember to vacuum the floor and dust everything.	Dumduma nga dapat  - is - ak ang salog kag yab - ok.
I'll remember to do that.	Madumduman ko pa nga himuon ko ina.
Make sure that you don't go anywhere until you clean your room.	Pat - ura nga wala ka sing makita nga lugar tubtob tinluan mo ang imo kuwarto.
I'll clean my room before I leave.	Matinlo ko ang akon kuwarto antes ako maghalin.
Do you think I should join the basketball team, Mary?	Sa banta mo dapat bala ako magbuylog sa team sang mga basket ball, Mary?
Why not? If I were you, I certainly would.	Kon ako ikaw, ngaa indi?
But I'm afraid it'll take up too much of my time.	Apang nahadlok ako nga basi mag - untat ako sa pag - alagad.
As the saying goes, work while you work, play while play. All work and no play makes Jack a dull boy, you know?	Samtang nagatrabaho ka, ang tanan nga obra kag ang tanan nga hampang nagahimo kay Jack nga makatalaka, nahibaluan mo bala?
Hmm, you're right.	Si Machange, husto ka.
Good morning, Sir. Are you here to get some advice about our new Personal Financing Program?	Maayong aga, Sir.
I am indeed. What can you tell me?	Ano bala ang isiling mo sa akon?
The account is a compound savings account, which is in RIB and Forex.	Ang kasaysayan isa ka report tuhoy sa sinuptan, nga yara sa RIB kag Forex.
Do I get a card?	Nagakuha bala ako sing kard?
Yes, you can have a Money Link card. You can also base the account on time deposits. The choice is yours.	Huo, mahimo ka makatigayon sing credit card nga kuarta, kag mahimo mo man ini ibase sa imo iskedyul.
How about the interest? I'm not really happy with the interest I'm receiving through my Current Account.	Indi ako malipayon sa akon interes sa akon bag - o nga pamulongpulong.
The interest on this new account is higher than any of the accounts in our Personal Financing.	Ang interes sa sining bag - o nga kasaysayan mas mataas sangsa bisan ano nga kasaysayan sa amon Personal nga Pag - uswag.
That sounds better. Also, can I use the one card for several accounts? Say, if I have two or three accounts and want to transfer money from one to the other?	Magamit ko man bala ang isa ka kard para sa pila ka account?
Yes, you can have multi-accounts on the card, you can also make transfers from the account and securities companies and various other benefits.	Huo, mahimo ka makagamit sing madamo nga numero sa kard, mahimo mo man ini isaylo gikan sa account kag sa mga kompanya sang mga eroplano kag iban pa nga mga benepisyo.
That's wonderful.	Makalilipay gid ina.
Ladies and Gentlemen, this is the Statue of Liberty. It's one of the American symbol.	Ang mga astrologo kag mga manunulat sang Biblia, amo ini ang sentro sang Kahilwayan, kag isa ini sa simbulo sang Amerika.
It's really spectacular.	Matahom gid ini.
The statue has for a century acted as a figurehead for the American Dream.	Ang estatwa nagpanghikot sing isa ka siglo subong isa ka larawan para sa Amerikanong damgo.
I think we can climb to the top, can't we?	Sa banta ko mahimo kita magtaklad sa ibabaw, indi bala?
Of course you can.	Siempre.
I'd like to book a ticket to Singapore, please.	Luyag ko mag - book sing tiket sa Singapore, palihug.
The flight number is Cz353. it departs at 17:10 and arrives at 45.	Ang kadamuon sang mga eroplano amo ang Cz353.
Okay. I will book this flight.	Ibakal ko ini nga eroplano.
Your passport, please.	Ang imo pasaporte, palihug.
This house is very nice for me, but I can ’ t afford it in a lump sum.	Maayo gid ini nga balay para sa akon, apang masarangan ko ini sa isa ka kantidad nga may unod nga tinapay.
Don ’ t worry, you can pay in an installment, that is to say, you don ’ t have to pay the whole amount of money at once.	Don chrick, sarang ikaw makabayad sing hinali, buot silingon, wala ka sing balayran nga tsa sa gilayon.
That ’ s good. Will you tell me the details?	Isugid mo bala sa akon ang mga detalye sini?
Certainly, you need to pay a deposit at first, and you will pay the rest monthly.	Sa pagkamatuod, dapat ka magbayad sa primero, kag bayaran mo ang nabilin nga bulan.
I need to talk it over with my wife.	Kinahanglan ko ini ipakighambal sa akon asawa.
Susan, can you give me a hand?	Susan, puede mo bala ako hatagan sing kamot?
Sure, what's wrong?	Ano gid bala ang problema?
I want to create a password for this document. Please tell me how to do it.	Palihug sugiri ako kon paano ini himuon.
It's easy. Press O and then P. Then it will ask you for your password.	Mahapos lang ini.
What do I do after I've typed in my password?	Ano ang ginahimo ko pagkatapos ko ma - type ang akon password?
Just press ENTER and you've done.	I - press lang ang imo kamot kag nahimo mo na.
Where on earth are we going to borrow at 3 %?	Diin kita sa duta magahulam sing 3 %?
We can borrow from a bank, the gross interest rate will be something like 7 %. With corporate tax at say 30 %. We are only paying on 50 % of this. There is still inflation to consider.	Mahimo kita makahulam gikan sa bangko, ang daku nga interes mangin kaangay sang 7 %.
You can knock off another 2 % for that.	Mahimo mo ini bangdan sang 2 % pa.
We can borrow as much as we can.	Makahulam kita tubtob sa aton masarangan.
Not quite, if we get too heavily in debt, the shares will tend to drop.	Indi, kon mag - utang kita sing daku, ang mga bahin mahimo nga magabuhin.
How much loan capital can we safely raise then?	Daw ano kadamo nga kapital ang sarang naton mautang sing hilway sa katalagman?
I would like to have notice of that question, I will give you an answer in a week.	Luyag ko mahibaluan ina nga pamangkot, hatagan ko ikaw sing sabat sa isa ka semana.
So you're going picnicking?	Gani maga - uwang ka bala?
Yeah. I'm going with Jennie.	Magaupod ako kay Yeah.
Have a good day!	Mag - goy!
Bob, What are you thinking about?	Bob, Ano ang ginahunahuna mo?
I'm thinking about that idea we talked about.	Ginhunahuna ko ini nga ideya nga amon ginhambalan.
Do you think it'll work?	Sa banta mo ayhan epektibo ini?
Room service. May I help you?	Mabuligan ko bala kamo sa pag - alagad sa lainlain nga lugar?
Yes, can you tell me how to use the phone in my room?	Huo, masugid mo bala sa akon kon paano gamiton ang telepono sa akon kuwarto?
Certainly. If you want to make a local call, dial 10 first and then call the number you want.	Kon gusto mo gid nga magduaw sa inyo lugar, mag - inom anay sing 10 kag tawgan ang numero nga gusto mo.
Welcome to our company, My name is Jon Dahl Green. I'm in charge of the export department. Let me give you my business card.	Kon batunon ko ang amon kompanya, ang akon ngalan amo si Jon Dah Green, ako ang nagadumala sa departamento sang pag - eksport, kag ihatag ko sa imo ang akon kard.
I'll give you mine too.	Ihatag ko man sa inyo ang akon man.
Not bad, but I'm a little tired.	Indi malain, apang kapoy ako diutay.
Here's your schedule. After this meeting, we will visit the factory and have another meeting with the production manager. And you'll be having dinner with our director.	Pagkatapos sini nga miting, duawon namon ang pabrika kag makigkita liwat sa manedyer sang produksion.
Could you arrange a meeting with your boss?	Makahimo ka bala sing kahimusan nga makigkita sa imo boss?
Of course. I've arranged it at 10 0 ' clock tomorrow morning.	Siempre, gin - areglo ko ini sa alas 10 0 sang aga.
Well, shall we get down to business '.	Ti, magapanaug kita sa negosyo. '
Sure, did you receive the sample we sent last week?	Matuod, nabaton mo bala ang sampol nga ginpadala namon sang nagligad nga semana?
Yes, we finished the evaluation of it. If the price is acceptable we would like to order now.	Huo, kon maayo ang bili, dapat naton ini imando subong.
What's your best price for that item?	Ano ang imo pinakamaayo nga bili para sa sina nga butang?
The unit price is $ 12.50.	Ang bili sang yunit ₱250.
I think the price is a little high, can't you reduce it	Sa banta ko ang bili manubo diutay, indi mo ini mabuhinan
I'm afraid we can't. $ 12.50 is our rock bottom price. If you purchase more than 10,000 units we can reduce it to $ 12.00.	Ang bili sang bato nga aton ginabakal sing kapin sa 10,000 ka yunit sarang naton mabuhinan tubtob sa ₱00.
Well, I'll accept the price and place an initial order of 10,000 units.	Ti, batunon ko ang bili kag magpahamtang sing una nga order nga 10,000 ka yunit.
Very good. It's been a pleasure to do business with you, Mr. Smith.	Nalipay gid ako nga magnegosyo upod sa imo, G. Smith.
The pleasure is ours. Can you deliver the goods by March 31?	Nalipay gid kita kay mahatag mo ang mga pagkabutang sa Marso 31?
Excuse me, can you tell me where the post office is?	Tuguti ako, masugid mo bala sa akon kon diin ang post office?
It's on the Fifth Avenue.	Amo ini ang sa Wumtford nga Ang Lalantawan.
I'm afraid I don't quite understand.	Nahadlok ako nga basi indi ko mahangpan ini.
I see.You ' re a stranger here.Walk two blocks ahead, then turn left. You can't miss it.	Kon indi ka gani makahibalo mag - agi diri, likawi nga maglakat sing duha ka bloke.
What's the quickest way to get there?	Ano ang pinakamadasig nga paagi agod makakadto didto?
If were you. I'd take a taxi.	Kon ikaw, naga - taxi ako.
Can you tell me where the taxi stand is?	Masugiran mo bala ako kon diin nagatindog ang taxi?
You will find a taxi stand the street corner.	Makita mo ang taxi nga nagatindog sa pamusod sang kalye.
Excuse me, can you help me? I would like to change rooms if possible, I couldn ’ t sleep at all last night, because the people in the room next to mine were making a lot of noise, also if at all possible, I ’ d like a room that doesn ’ t overlook the street, between the noisy neighbors and the highway outside, I didn ’ t sleep a wink.	Kon posible, makatulog ako sing maayo, kay ang mga tawo sa akon kuarto nagapugang, kag kon posible, naga - d ako kaangay sang kuarto nga wala sing hinalung - ong sa dalan, sa ulot sang magahod nga mga kaingod kag sang haywey, nagatulog ako sing ngun.
I am so sorry to hear that sir, let me check and see what is available, what room are you in now?	Naluoy gid ako nga mabatian yadtong tag - iya sang balay, kag tan - awon ko kon ano ang matigayon, ano nga hulot ang yara sa imo karon?
I ’ m on the 6th floor, room 698, I ’ v had many problems with that room, just this morning, I called someone up to fix the light fixture in the bathroom, it didn ’ t work, and it still doesn ’ t work.	Mga alas 698, kuarto 698, may madamo ako nga problema sa sina nga kuarto, sini lang nga aga, ginpatawag ko ang isa ka tawo para kay - uhon ang suga sa banyo, kag wala pa ini sing tyur tt, kag wala gihapon ini sing tyh tla.
Oh, dear, well, it looks like we have a few rooms available, can I put you into a room on the 17th floor? It has a balcony and it doesn ’ t face the highway.	Ti, pinalangga, daw may pila lang kami ka kuarto, gani ibutang ko bala kamo sa kuarto sa ika - 17 nga panalgan, kag may isa ini ka karatula kag may typa nga may twa sa haywey.
Ok, that would be very nice! What do I need to do to transfer?	Maayo gid ina kay dapat ko ini bag - uhon?
Let me check you out of your old room, you have to sign here, and acknowledge these changes and also the charges to your previous room. Then I can hook you right up to room 1780.	Tuguti ako nga usisaon kamo sa inyo daan nga kuwarto, kinahanglan nga magpirma kamo diri, kag kilalahon ining mga pagbag - o kag ang mga panumbungon man sa inyo daan nga hulot.
Mmm, I don ’ t think the charges are right, can you explain them please?	Mmmm, sa banta ko husto ang mga panumbungon, mapaathag mo bala ini palihug?
Now, if I look here I see that you completed a BA in English?	Karon, kon tan - awon ko diri nakita ko nga natapos mo ang BA sa Ingles?
Yes, that ’ s right. After graduating from high school in New York I attended York University in the UK. My major was English, and my minor was business studies. I completed my BA in 2004.	Sang nag - eskwela ako sa New York University sa UK.S. Ingles ako, kag ang akon menor - de - edad nga bata naman nagatuon parte sa negosyo.
Yes, I ’ m pleased to see that you also got a distinction.	Huo, nalipay ako nga makita nga may kinatuhayan man kamo.
Yes that ’ s right. I ’ Ve always enjoyed studying. My friends say I ’ m a bit of a bookworm, but my father always pushed us to succeed school.	Huo, nanamian gid ako magtuon kay siling sang akon mga abyan, may dala ako nga isa ka book worm, pero pirme kami ginapilit ni Tatay nga magmadinalag - on sa pag - eskwela.
Well, it looks like his encouragement paid off Rebecca. So how about extracurricular activities at University?	Ti, daw subong bala nga ang iya pagpalig - on nag - ubos kay Rebecca, gani kamusta naman ang dugang nga mga hilikuton sa Unibersidad?
Well I ’ Ve always been keen on writing, so I became the editor for the University student newspaper, which I really loved. Also I volunteered for a group called Shelter, to help the homeless in York.	Maayo lang kay pirme ako nanamian magsulat, gani nangin editor ako sang pamantalaan nga University nga nanamian ko gid kay nagboluntaryo man ako para sa isa ka grupo nga Shelter para sa mga wala sing balay sa York.
What did that involve?	Ano ang nadalahig sa sini?
Providing warm meals and shelter, especially in the winter months. I found it really fulfilling to be part of that group.	Nalipay gid ako nga mangin bahin sini nga grupo, ilabi na kon tigtulugnaw.
I ’ m sure. Okay, now let ’ s move on to your work experience, shall we?	Oyyy, tuguti ang mga eky nga magpadayon sa imo trabaho, kami bala?
You owe $ 36.78.	May utang ka nga ₱ 36.78.
Here ’ s my VISA card.	Diri gina - post sang ROVIA ang akon VISA card.
I ’ m sorry, but your card isn ’ t working.	Mga RABI, apang ang inyo card nga amn thl ttwork (isa ka sahi sang tyur).
The machine says your card was declined.	Ang makina nagasiling nga ang imo kard wala na ginagamit.
Do you have another card?	May yara ka bala lain nga kard?
That ’ s my only one.	Yadto nga ekyur nag - igo sa akon lamang isa.
Maybe you can just pay in cash?	Mahimo bala nga mabayaran mo lang ang kuarta?
No cash today.	Wala sing kuwarta karon.
I guess you won ’ t be able to purchase these items today.	Sa banta ko sarang mo mabakal ining mga butang karon sa ngunton.
I ’ ll come tomorrow with cash.	Ako ang naga - scERy ll bed (isa ka sahi sang kuwarta) buwas.
How do you spell that?	Paano mo ina ginatigbato?
M, A, double R, I, O, double T.	M, A, doble nga R, I, O, doble T.
