src	tgt
plug	angot
tendency	huyog
margin	marhin
temple	templo
inappropriate	dinagkaigo
manipulate	maniobrahon
passed	nag agi
international	internasyonal
earthquake	linog
religious	relihiyoso
chop	tinuktok
slowly	amat-amat
impatient	hindi makahulat
deliberate	hungod
arbitrary	dimakatarungan
impose	ipatuman
I do not understand	indi ko mahangpan
swollen	pagbanog
amusing	makahalam-ot
download	download
stake	usok
basically	sadsaran
glow	masanag
internal	duna
started	nagsugod
spinach	dahon sang kulitis
merchant	mga negosyante
preposition	preposisyon
august	agosto
occurs	nagakatabo
resemble	kaangid
unknown	indi kilala
vivid	maathag
evolve	nagtuhaw
pardon	patawaron
failed	napaslawan
maturity	pagkahamtong
elephant	elepante
uniform	uniporme
eagle	agila
broom	silhig
jogging	pag-jogging
impress	nanamian
closet	kloset
tray	bandehado
podcast	podkast
farmer	mangunguma
absorb	ginsalupsop
peas	latoy
mission	misyon
filthy	mahigko
insect	insekto
curb	matapna
trim	tutuan
wages	mga sweldo
jaw	sag-ang
lungs	baga
improvement	nag -ayo
whistle	pagpanihol
immediate	gilayon
profile	biograpiya
asleep	pagtulog
narrative	panaysayon
reality	matuod
double	doble
in order to	agod may
privacy	pribado
eleven	onse
usual	masami
good bye	nag paalam
where is	sa diin
exact	eksakto
supper	panihapon
unable	indi na
vase	plorera
hardly	halos indi
moisture	kahumog
hiring	gapasuhol
parallel	kaanggid
null	pulos
offensive	makasaklaw
arise	nagutwas
precisely	gid sina
mall	lalagawan
cheer	mapahalipay
clock	orasan
cushion	kutson
abide	sundon
fox	sora
flew	naglupad
national	nasyonal
execution	kamatayon
happened	natabo
skinny	maniwang
honestly	bunayag
you are so beautiful	tuman kaw katahom
bloom	silabo
voice	tingog
harmony	nahisanto
actor	aktor
peel	pinanitan
toast	pag-toast
july	hulyo
famine	tiggulutom
infection	impeksion
laughing	pagkadlaw
scarce	maiwat
cottage	payag
surveillance	ginabantayan
dictionary	diksyonaryo
send me your picture	magpadala ka sa akon sang imo laragway
slice	kinihad
football	hampang sang  bola gamit ang tiil
unconscious	nalipong
filled	pun-on
surprised	nasorpresa
athlete	humalampang
deceased	napatay
script	iskrip
bury	lubong
thirty	treinta
external	naguwa
transition	hugna
military	militar
what are you doing right now	ano ang gina-obra mo subong
asked	nangabay
acquired	pagtigayon
drunk	nahubog
span	kalawigon
battle	pagpakig-away
bastard	bastardo
priest	saserdote
obesity	katambok
bedroom	kwarto
crab	kasag
hierarchy	hirarkiya
stingy	dalok
lick	dilapan
venom	dalit
bump	batsi
tolerate	magatugot
oath	panumpa
liquid	likido
scent	kahumot
fairy	engkanto
exit	pagguwa
powerful	gahom
appreciation	apresyahon
revolution	pagbago
absurd	makatarunganon
myth	mito
luck	swerte
insert	pagsal-ot
magazine	magasin
prospect	paglaum
countryside	kaumhan
underneath	idalom
stood	nagtindog
goodnight	mayad nga pag tulog
traits	mga batasan
Same here	amo man sini diri
pop	mag-ulhot
assign	asayn
passive	magpamiyumiyo
cheating	nagapangdaya
soak	nahumog
kid	bata
bush	talon
flex	ipakita
bull	toro
roughly	halos indi
daddy	tatay
talkative	babaan
eating	gakaon
outlet	saksakan
essence	kahulugan
conjunction	dungan
debit	debit
shipping	ginpadala
artist	artistiko
horizontal	pahigda
negotiate	kasibod
warn	paandam
network	sistema
genius	henyo
memory	handumanan
witty	palalahog
cliff	banglid
bore	nagpanaksi
patch	tukapan
given	ginhatagan
dip	isawsaw
annoy	nagapaugtas
parsley	parsley
madam	ginang
criticism	kritisismo
hunt	pagpangita
blank	blangko
export	eksport
detect	mamutikan
transportation	transportasyon
colour	kolor
pause	magdulog
appeared	nag tuhaw
diarrhea	ginalupot
wander	paglagaw
lawn	hilamnan
items	mga butang
commute	magbiyahe
shade	handong
whisper	naghutik
tutor	manunudlo
slope	banglid
obtained	pagtigayon
continent	kontinente
sole	dapadapa
fabric	tela
In fact	sa katunayan
document	dokumento
framework	balayan
boot	botas
defend	pangapinan
discard	ihaboy
listening	pagpamati
yes baby	huo, palangga
terms	termino
carpenter	karpentero
worthy	takus
plural	pangmadamo
glue	kula
mrs	ginang
sudden	hinali
statue	estatwa
danger	katalagman
prosperous	kabuganaan
center	tunga
dash	palumba
economy	ekonomiya
potato	patatas
I like	gusto ko
dive	naglukso
conservation	konserbasyon
lady	babayi
friendship	pagabyanay
employees	mga manog ubra
beam	pasagi
exhaust	kakapoy
insomnia	indi makatulog
intact	malig-on
identical	kapareho
port	puerto
bait	paon
global	kabilugan
sailing	palawod
news	balita
combine	madungan
watermelon	sandiya
having	panagiya
generate	maghimo
rival	karibal
tape	teyp
faithful	matutom
mock	yagutaon
dwell	magpuyo
amend	pasaylo
girlfriend	nobya
oh really	tuod?
stamp	selyo
confusion	nagagamo
widow	balo
frightening	nahadlok
memories	memorya
bless	pakamayuhon
immense	tuman gid
nutrition	nutrisyon
sleepy	natuyo
doesn't	indi
foggy	maambunon
nevermind	indi na lang
chess	chess
fatal	makamamatay
yell	singgit
goals	mga tinutuyo
why not	ngaa indi
written	nasulat
tick	utol
pile	tinumpok
fame	kabantugan
behalf	tungad sa
twist	patiko
anonymous	indi makilala
intelligence	kaalam
okay baby	ok palangga
clarify	ginpaathag
peers	mga abyan
all right	ok na
stack	pagsampaw
flawless	makinis
walking	nagalakat
how are you today	kamusta ka subong nga adlaw
guidance	giya
can't	indi
measures	pagsukol
math	matematika
hurricane	bagyo
invent	ginhimo
jail	presohan
kept	gintago'
monkey	amo
bang	banggg
cooking	nagaluto
expired	ekspayr
fluffy	mahumok
odds	kabudlayan
mask	maskara
underrated	indi kilala
deploy	palukpon
greeting	pag abiabi
timid	mahuluy-on
legit	matuod
moody	palainlain nga modo
lightning	kilat
hike	magsaka sa bukid
hut	payagpayag
barrier	sagang
fortunately	maayo na lang kay
attack	atake
vaccination	bakuna
obsession	obsesyon
symbol	simbolo
drama	kasubo
poem	tula
jewelry	alahas
festival	pista
expenses	mga gasto
agency	ahente
plague	salot
estate	estado
pavement	salog
shield	panagang
tiger	tigre
deck	barko
horror	kaladlukan
outline	sa gwa
ache	palanakit
bearing	pagpanaksi
transport	salakyan
cloth	tela
software	software
congrats	panginbulahan
humid	mapaang
spike	hampak
brick	tisa
cooperation	kooperaasyon
quotes	ginkutlo
stalk	pagsunod sunod
donate	donar
speechless	wala sang mahambal
film	pelikula
instead of	sa baylo nga
convinced	kombinsi
bleach	pag-ugis
summit	putulputukan
cycling	pagbisekleta
poetry	binalaybay
economic	ekonomiya
lump	linamas
competent	kompetensya
mysterious	misteryoso
citizen	banwahanon
sausage	soriso
contempt	pagtamay
boots	botas
stool	tae
flee	magpalagyo
diseases	mga balatian
rapidly	madasig
arrow	arow
have you eaten	nakakaon ka na?
intuition	mahinantupon
factor	kabangdanan
somebody	isa ka tawo
I want you	Gusto ta ikaw
relieve	naghaganhagan
dread	kahadlok
wrote	nasulat
forehead	agtang
constipation	konstipasyon
reaction	raksyon
rhythm	ritmo
flip	magbaliskad
sum	kabug-osan
knight	kabalyero
favour	pabor
refused	nagpang indi
have fun	mangalipay ka
soldier	suldado
scrap	iskrap
cage	hawla
distress	kalisod
philosophy	pilosopiya
hundred	gatos
stolen	gintakaw
inflammation	pagpalmanog
import	pasulod
flash	pag-igpat
epidemic	epidemia
Our mission: to organize the world's information and make it universally accessible and useful.	Ang amon misyon: para mag organisar sang impormasyon nga pangkalibutan kag mahimo nga mabuksan kag mapuslan sang tanan.
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ang amon misyon: para buligan ang tanan, bisan diin para mag intindi sang kalibutan kag magpabutyag sang ila kaugalingon sa iba-iba nga mga lengguahe.
Google Translate	Ginbadbad ni Google
satisfy	kaayawan
airport	paliparan
I do not know	Wala ako kabalo
collar	kwelyo
conditions	mga kondisyon
basil	basil
Dear All	Pinalangga ko nga TANAN
keep it up	sigeha pa
helmet	proteksyon sa ulo
infant	lapsag
bracelet	pulsiras
companion	kaupod
playing	naga hampang
riot	kagubot
flaw	diperensya
cinnamon	kanela
lizard	tiki
slot	iskedyul
agile	kapagsik
fluid	tubig
revision	pagbaylo
scar	pilas
what is this	ano ini
bind	gingapus
pieces	binilog
diabetes	dayabetes
sleeping	nagatulog
work out	mag ehersisyo
my friend	akon abyan
dropped	ginhulog
sack	sako
splendid	tumalagsahon
sting	sudlot
dam	punongan sang tubig
cabinet	kabinet
porridge	linugaw
invest	mamuhunan
isolated	ginpain
realized	nareyalisar
fed up	ginpakaon
tire	goma
element	elemento
territory	teritoryo
alarm	alarma
finger	tudlo
medical	medikal
qualification	kwalipikasyon
theft	pagpangawat
hospitality	ginamoma
council	konsilyo
lease	arkila
folks	mga kaupod
prize	premyo
kill	patyon
attraction	atraksyon
places	mga lugar
loaf	tinapay
minutes	minutos
you are beautiful	gwapa ikaw
spit	dura
tide	mataas
somehow	medyo
singer	nagakanta
retreat	maglikaw
vicious	mabaris
commodity	manugbaligya
rod	bilugon
recommended	ginarekomenda
install	ginbutang
quiz	patilaw
reflection	repleksyon
chew	usang
results	mga resulta
plants	mga tanom
detail	detalye
noticed	nanotisyar
inheritance	palanublion
turmeric	kalawag
pound	dugmukon
demanding	ginapangayo
goods	mga kalan-on
milestone	milya
scold	akigan
battery	baterya
threaten	ginpahog
contains	mga unod
have a good day	maay nga adalw
best regards	kamusta
kindly	palihug
hotel	tululogan
rectangle	rektanggulo
biased	may ginadampigam
army	sundalo
blade	nagaidlab
colorless green ideas slept furiously	walang sang kolor nga berde nga mga ideya nagtulog nga kasingkal
I love my mother	Palangga ko ang akon nanay
I love my little sister	Palangga ko ang akon bugto nga babayi
I love my little brother	Palangga ko ang akon bugto nga lalaki
I love my father	Palangga ko ang akon tatay
I love my big sister	Palangga ko ang akon magulang nga babayi
I love my big brother	Palangga ko ang akon magulang nga lalaki
submission	pagpasa
hygiene	katinlo
costume	kostyum
sarcastic	sarkastiko
heir	tagapagmana
misery	pag-antos
temper	maakigon
surrounding	palibot
obscure	malubog
quilt	rebrekama
I don’t know	Wala ako kabalo
prepared	preparedo
for you	para sa imo
crops	mga patubas
increased	nagsaka
easily	mahapos
mischievous	makahalalit
lord	ginoo
sold out	ubos na
justify	ginpakamatarong
adverb	adberbiyo
apparent	talalupangdon
ears	mga talinga
kettle	takuri
animal	sapat
zero	sero
worth it	takus gid
wish you all the best	ginapabay ko ang tanan nga maayo para sa imo
who is this	sin-o ini
what do you want	ano ang gusto mo
we are	kita ang
vomit	iluad
up to you	ikaw bahala
twenty-one	beinte uno
thousand	libo
thirteen	trese
they are	sila ang
ten thousand	pulo ka libo
ten	pulo
take away	dalha
swell	nagaawas
sweet tooth	mahilig sa matam-is
sustainability	pagsustenar
suck	supsop
stay safe	halong
stab	buno
sixty	sais sienta
sixteen	disiseis
sister in law	bayaw nga babayi
she has	may ara sya
sew	ginatahi
seventy	siesenta
seventeen	disisiete
september	septyembre
sentences	dinalan
self healing	pag ayo sa kaugalingon
scientists	sientipiko
satisfying	makaalayaw
safe flight	maayo nga pag byahe
rub	ihaplas
rotten	dunot
rib	gusok
rest in peace	magpahuway sa kalinong
resentment	kaakig
pronouns	nagpahayag
overthinking	grabe nga pag paminsar
one language is never enough	sakto dun ang isa ka lengguahe
october	oktobre
nutmeg	nuwes muskada
november	nobyembre
nouns	nombre
not bad	okay man
nostalgic	mamingawon
ninety	nobenta
nineteen	disenwebe
minute	minutos
million	milyon
meditation	pamalandong
many many happy returns of the day	damo damo ang masadya nga nagbalik subong nga adlaw
long time no see	dugay nga waay kitaay
last but not least	urihi pero indi pigaw
just do it	ubraha lang ah
journalist	dyurnalista
it's ok	okay lang na
interpreter	manog patpat
i guess	matyag ko
hubby	bana
how often	kada sano
how do you do	kamusta ikaw
hopeless	waay pagasa
hi how are you	kamusta ikaw
he has	may ara sya
have breakfast	mahaw ta
hardly ever	kabudlay gd tana
good looking	maambong
good job	maayo nga ubra
good day	mayad nga adlaw
going to	maagto sa
god bless you	bindisyunan ka sang diyos
go to bed	batang na tu
glow up	sinultero
ghosting	wala gapanapak
get dressed	ilis dun
frequent	pirme
freeze	tigdas
fourteen	katorse
forty-two	kuwarentay dos
forty	kuwarenta
follow up	subaybayan
fog	alipuop
fluently	talunsay
flirting	paglandi
fifty	singkwenta
fifteen	kinse
february	pebrero
facts	tuod
ethics	pagginawi
elder	mas gurang
eighty	otsenta
eighteen	diseotso
dig	kutkot
die	patay
devastated	ginhalitan
democracy	demokrasya
december	disyembre
come here	kadto di
chimneys	simburyo
brother in law	bayaw nga laki
boyfriend	nobyo
best of luck	hatagan ka sang kaswertehan
barley	sebada
baking soda	baking soda
aunty	tita
ash	abo
april	abril
anyways	ang ano gale
among us	isa kanamon
all the best	tanan nga maayo
a lot of	damo nga
Write here	sulat diri
Thanks for using our app	salamat sa pag gamit sini nga app
Spanish	espanyol
Not now	di anay tulad
My hovercraft is full of eels	Ang hovercraft buta sang mga sili
India	India
I would be	Ako ay ma
I have been	Kaagi ako
Dear students	Palangga ko nga mga estudyante
Dear Team	Palangga ko nga Grupo
Dear Sir	Palangga ko nga Maestro
Dear Parents	Palangga ko nga mga Ginikanan
Are you still there?	Ara ka pa da?
ancestors	katigulangan
sweet dreams	manami nga pagpanamgo
tomato	kamatis
I had	May yara ako
dirt	higko
pigeon	pating
silence	maghimos
fiance	inog kasal
years	mga tinuig
we can	pwede kita
happy birthday to you	masadya nga kaadlawan sa imo
hurry up	dasiga da
what's your name	ano ang imo ngalan
donkey	asno
flesh	unod
for instance	halimbawa
muscle	maskulo
snail	taklong
mushroom	uhong
orphan	ilo
go away	halin diri
show me	ipakita sa akon
bakery	panaderya
salmon	salmon
kids	mga bata
vegetable	gulay
smoke	aso
ox	baka
I'm here	Ari ko di
midnight	tungang gabii
pee	ihi
as long as	tubtob
yawn	pagpanguy-ab
eggplant	talong
compassionate	maluluy-on
do you love me	palangga mo bala ako
see you tomorrow	kitaay lang ta bwas
straightforward	prangka
demon	yawa
kitten	kuting
puberty	paghinupang
tradition	tradisyon
warrior	soldado
frozen	nagyelo
moist	mahun-og
alcohol	alkohol
laughter	kadlaw
I don't understand what you mean	Indi ko kaintindi kon ano ang ginahambal mo
you’re welcome	ginaabiabi ka namon
over there	didto
fertile	mabungahon
I hope so	Kabay pa
Quechua	Quechua
Twi	Twi
Tsonga	Tsonga
Tigrinya	Tigrinya
Sorani	Sorani
Sepedi	Sepedi
Sanskrit	Sanskrit
Oromo	Oromo
Mizo	Mizo
Meiteilon	Meiteilon
Maithili	Maithili
Luganda	Luganda
Lingala	Lingala
Krio	Krio
Konkani	Konkani
Kalaallisut	Kalaallisut
Ilocano	Ilokano
Guarani	Guarani
Fulfulde	Fulfulde
Ewe	Ewe
Dogri	Dogri
Dhivehi	Dhivehi
Bhojpuri	Bhojpuri
Bambara	Bambara
Aymara	Aymara
Assamese	Assamese
