reference	hiligaynon	english
ISA.45.13	Ako mismo ang nagpadumala kay Cyrus sa pagtuman sang akon matarong nga tinutuyo. Himuon ko nga husto ang tanan niya nga mga pamaagi. Patindugon niya liwat ang akon siyudad kag hilwayon niya ang akon katawhan nga ginbihag. Himuon niya ini indi tungod nga ginsuhulan ukon ginpremyuhan siya. Ako, ang Ginoo Ginoo nga Makagagahom, ang nagasiling sini.”	I have raised him up in righteousness, and I will direct all his ways: he shall build my city, and he shall let go my captives, not for price nor reward, saith the LORD LORD of hosts.
ISA.45.14	Nagsiling ang Ginoo Ginoo sa Israel sa Israel , “Mangin sakop mo ang mga taga-Egypt kag taga-Ethiopia, # 45:14 Ethiopia: sa Hebreo, Cush # 45:14 Ethiopia: sa Hebreo, Cush 45:14 Ethiopia: sa Hebreo, Cush pati ang mga taga-Seba nga ang ila mga lalaki matag-as. Magapalapit sila sa imo nga dala ang ila mga manggad kag mga produkto. Mangin bihag mo sila. Magaluhod sila sa imo kag magapakitluoy nga nagasiling, ‘Matuod nga ang Dios nagaupod sa imo kag siya lang ang Dios!’ ”	Thus saith the LORD LORD , The labour of Egypt, and merchandise of Ethiopia and of the Sabeans, men of stature, shall come over unto thee, and they shall be thine: they shall come after thee; in chains they shall come over, and they shall fall down unto thee, they shall make supplication unto thee, saying saying , Surely God is is in thee; and there is there is none else, there is there is no God.
ISA.45.15	O Dios kag Manluluwas sang Israel, matuod nga wala mo ginapakita ang imo kaugalingon.	Verily thou art art a God that hidest thyself, O God of Israel, the Saviour.
ISA.45.16	Mahuy-an gid ang tanan nga nagahimo sang mga dios-dios.	They shall be ashamed, and also confounded, all of them: they shall go to confusion together that are that are makers of idols.
ISA.45.17	Pero luwason mo, Ginoo Ginoo , ang Israel, kag ang ila kaluwasan wala sing katapusan. Kag indi na gid sila mahuy-an hasta san-o.	But But Israel shall be saved in the LORD LORD with an everlasting salvation: ye shall not be ashamed nor confounded world without end.
ISA.45.18	Ikaw, Ginoo Ginoo , amo ang Dios. Gintuga mo ang kalangitan kag ang kalibutan. Wala mo ginhimo ang kalibutan nga mahawan, kundi ginhimo mo ini para puy-an. Nagasiling ka, “Ako amo ang Ginoo Ginoo , kag wala na sing iban pa.	For thus saith the LORD LORD that created the heavens; God himself that formed the earth and made it; he hath established it, he created it not in vain, he formed it to be inhabited: I am am the LORD LORD ; and there is there is none else.
ISA.45.19	Wala ako naghambal sa tago, nga wala sing may nakahibalo. Wala ako nagsiling sa mga kaliwat ni Jacob nga magdangop sila sa akon nga wala man lang sila sing may mabaton. Ako, ang Ginoo Ginoo , nagahambal sang kamatuoran. Ginapahayag ko kon ano ang husto.”	I have not spoken in secret, in a dark place of the earth: I said not unto the seed of Jacob, Seek ye me in vain: I the LORD LORD speak righteousness, I declare things that are right.
ISA.45.2	Ako ang magapreparar sang imo alagyan, kag tapanon ko ang mga bukid. Gub-on ko ang mga puwertahan nga saway kag ang mga trangka sini nga salsalon.	I will go before thee, and make the crooked places straight: I will break in pieces the gates of brass, and cut in sunder the bars of iron:
ISA.45.20	Nagsiling pa ang Ginoo , Nagsiling pa ang Ginoo Ginoo , “Magtipon kamo sing tingob kag magpalapit sa akon, kamo nga mga nakapalagyo halin sa mga nasyon. Wala gid sing may nahibaluan ang mga nagadala sang ila mga dios-dios nga kahoy. Nagapangamuyo sila sa sini nga mga dios-dios nga indi makaluwas sa ila.	Assemble yourselves and come; draw near together, ye that are that are escaped of the nations: they have no knowledge that set up the wood of their graven image, and pray unto a god that that cannot save.
ISA.45.21	Magkonsultahanay kamo, kag ipahayag ninyo ang inyo kaso. Sin-o bala ang nagpropesiya sang una sa mga butang nga matabo? Indi bala ako, ang Ginoo Ginoo ? Wala na sing iban nga Dios kundi ako lang—ang matarong nga Dios kag Manluluwas.	Tell ye, and bring them them near; yea, let them take counsel together: who hath declared this from ancient time? who who hath told it from that time? have have not I the LORD LORD ? and there is there is no God else beside me; a just God and a Saviour; there is there is none beside me.
ISA.45.22	“Magdangop kamo sa akon, tanan kamo nga ara sa pinakamalayo nga parte sang kalibutan para maluwas kamo, kay ako Dios, kag wala na sing iban pa.	Look unto me, and be ye saved, all the ends of the earth: for I am am God, and there is there is none else.
ISA.45.23	Nagsumpa ako sa akon kaugalingon, kag ang akon mga ginpanghambal masaligan kag indi na maliwat: Magaluhod ang tanan nga tawo sa akon kag magasumpa sila nga magaunong sila sa akon nga magaunong sila sa akon .	I have sworn by myself, the word is gone out of my mouth in in righteousness, and shall not return, That unto me every knee shall bow, every tongue shall swear.
ISA.45.24	Magasiling sila, ‘Paagi lang gid sa Ginoo Ginoo makaangkon ang tawo sang kusog kag kadalag-an nga may pagkamatarong.’ ” Ang tanan nga nagadumot sa Ginoo Ginoo magapalapit sa iya kag mahuy-an.	Surely, shall one one say, in the LORD LORD have I righteousness and strength: even even to him shall men men come; and all that are incensed against him shall be ashamed.
ISA.45.25	Sa bulig sang bulig sang Ginoo Ginoo ang tanan nga kaliwat ni Israel makaangkon sang kadalag-an nga may pagkamatarong kag magadayaw sila sa iya.	In the LORD LORD shall all the seed of Israel be justified, and shall glory.
ISA.45.3	Ihatag ko sa imo ang mga tinago nga mga manggad, para mahibaluan mo nga ako amo ang Ginoo Ginoo , ang Dios sang Israel nga nagtawag sa imo.	and I will give thee the treasures of darkness, and hidden riches of secret places, that thou mayest know that I, the LORD LORD , which call thee thee by thy name, am am the God of Israel.
ISA.45.4	Gintawag ko ikaw para buligan mo ang Israel nga akon alagad, ang katawhan nga akon ginpili. Ginpadunggan ko ikaw bisan wala ka makakilala sa akon.	For Jacob my servant's sake, and Israel mine elect, I have even called thee by thy name: I have surnamed thee, though thou hast not known me.
ISA.45.5	Ako amo ang Ginoo Ginoo , kag wala na sing iban pa; luwas sa akon wala na sing iban pa nga Dios. Hatagan ko ikaw sang kusog bisan wala ka makakilala sa akon,	I am am the LORD LORD , and there is there is none else, there is there is no God beside me: I girded thee, though thou hast not known me:
ISA.45.6	para ang mga katawhan sa bilog nga kalibutan makahibalo nga wala na sing iban pa nga Dios luwas sa akon. Ako amo ang Ginoo Ginoo , kag wala na sing iban pa.	that they may know from the rising of the sun, and from the west, that there is there is none beside me. I am am the LORD LORD , and there is there is none else.
ISA.45.7	Ako ang naghimo sang kasanag kag sang kadulom. Ako ang nagadala sang kaayuhan kag sang katalagman. Ako, ang Ginoo Ginoo , ang naghimo sini tanan.	I form the light, and create darkness: I make peace, and create evil: I the LORD LORD do all these things things .
ISA.45.8	“Magahatag ako sang kadalag-an nga may pagkamatarong, pareho sang paghatag sang kalangitan ukon sang gal-om sang ulan. Kag batunon ini sang mga tawo sa kalibutan. Magalapnag ang kaluwasan kag ang kadalag-an nga may pagkamatarong pareho sang tanom nga nagatubo. Ako, ang Ginoo Ginoo , ang magahimo sini.	Drop down, ye heavens, from above, and let the skies pour down righteousness: let the earth open, and let them bring forth salvation, and let righteousness spring up together; I the LORD LORD have created it.
ISA.45.9	Kaluluoy ang nagapakigbais sa Dios nga iya Manunuga. Pareho man lang siya sa kolon. Makareklamo bala ang lunang sa manughimo sang kolon kon ano ang iya himuon? Ukon makareklamo bala siya nga pigaw ang manughimo sang kolon?	Woe unto him that striveth with his Maker! Let Let the potsherd strive strive with the potsherds of the earth. Shall the clay say to him that fashioneth it, What makest thou? or thy work, He hath no hands?
ISA.46.1	Ang mga dios-dios sang Babilonia nga sila ni Bel kag Nebo nagahamyang samtang ginakarga sa karwahe nga ginaguyod sang mga donkey. Mabug-at sila nga karga sa ginakapoy nga mga donkey.	Bel boweth down, Nebo stoopeth, their idols were upon the beasts, and upon the cattle: your carriages were were heavy loaden; they are they are a burden to the weary beast beast .
ISA.46.10	Sa umpisa pa lang ginpahayag ko na ang palaabuton. Halin sang una, ginpropesiya ko na kon ano ang matabo. Matuman gid ang akon mga plano; himuon ko ang tanan nga akon nagustuhan.	declaring the end from the beginning, and from ancient times the things the things that are not yet yet done, saying, My counsel shall stand, and I will do all my pleasure:
ISA.46.11	Magatawag ako sang isa ka tawo halin sa east sa isa ka malayo nga lugar, kag tumanon niya ang akon plano. Magasulip siya pareho sa pispis nga nagapangdagit. Kon ano ang akon ginhambal kag ginplano tumanon ko ini.	calling a ravenous bird from the east, the man that executeth my counsel from a far country: yea, I have spoken it it , I will also bring it to pass; I have purposed it it , I will also do it.
ISA.46.12	Pamati kamo sa akon, kamo nga mga matig-a sing ulo. Indi gid kamo makaangkon sang kadalag-an nga may pagkamatarong. # 46:12 Indi…pagkamatarong: ukon, Indi gid kamo maghimo sang matarong. # 46:12 Indi…pagkamatarong: ukon, Indi gid kamo maghimo sang matarong. 46:12 Indi…pagkamatarong: ukon, Indi gid kamo maghimo sang matarong.	Hearken unto me, ye stouthearted, that are are far from righteousness:
ISA.46.13	Sa indi madugay, hatagan ko na sang kadalag-an nga may pagkamatarong ang Jerusalem. # 46:13 Jerusalem: sa Hebreo, Zion # 46:13 Jerusalem: sa Hebreo, Zion 46:13 Jerusalem: sa Hebreo, Zion Huo, Huo, malapit ko na ini nga luwason, kag padunggan ko ang Israel.	I bring near my righteousness; it shall not be far off, and my salvation shall not tarry: and I will place salvation in Zion for Israel my glory.
ISA.46.2	Nagahamyang sila, kag indi nila masarangan nga luwason ang nagadala sa ila. Pati sila ginbihag.	They stoop, they bow down together; they could not deliver the burden, but themselves are gone into captivity.
ISA.46.3	Pamati kamo sa akon, kamo nga mga kaliwat ni Jacob, kamo tanan nga nagkalabilin sa katawhan sang Israel. Gin-atipan ko kamo halin sang inyo pagkatawo.	Hearken unto me, O house of Jacob, and all the remnant of the house of Israel, which are borne by me by me from the belly, which are carried from the womb:
ISA.46.4	Bisan magtigulang na kamo kag mag-ubanon, ako ang magaatipan sa inyo. Ginhimo ko kamo kag tatapon ko gid kamo. Buligan ko kamo kag luwason.	and even even to your your old age I am am he; and even even to hoar hairs will I carry you: you: I have made, and I will bear; even I will carry, and will deliver you you .
ISA.46.5	Sa kay sin-o bala ninyo ako ipaanggid? May ara bala nga pareho sa akon?	To whom will ye liken me, and make me me equal, and compare me, that we may be like?
ISA.46.6	Ang iban nga mga tawo nagapaguwa sang ila bulawan ukon pilak kag nagasuhol sang platero para himuon ini nga dios-dios kag ila dayon simbahon.	They lavish gold out of the bag, and weigh silver in the balance, and and hire a goldsmith; and he maketh it a god: they fall down, yea, they worship.
ISA.46.7	Ginapas-an nila ini, kag dayon ginatungtong sa iya bulutangan, kag nagapabilin ini didto. Indi na ini makahalin didto. Kon may magpangamuyo sa sini, indi ini makasabat; indi ini makaluwas sa iya mga kalisod.	They bear him upon the shoulder, they carry him, and set him in his place, and he standeth; from his place shall he not remove: yea, one one shall cry unto him, yet can he not answer, nor save him out of his trouble.
ISA.46.8	Kamo nga mga rebelde, tandai ninyo ini kag itanom gid sa inyo hunahuna.	Remember this, and shew yourselves men: bring it it again to mind, O ye transgressors.
ISA.46.9	Dumduma man ninyo ang akon mga ginhimo sang una nga panahon. Ako lang ang Dios, kag wala na sing iban pa nga pareho sa akon.	Remember the former things of old: for I am am God, and there is there is none else; I am I am God, and there is there is none like me,
ISA.47.1	Ikaw nga pareho sa birhen nga babayi indi na pagtawgon nga mahinhin kag maluming.	Come down, and sit in the dust, O virgin daughter of Babylon, sit on the ground: there is there is no throne, O daughter of the Chaldeans: for thou shalt no more be called tender and delicate.
ISA.47.10	kag nagatulod sa imo sa pagsiling, ‘Ako ang Dios, kag wala na sing iban pa.’	For thou hast trusted in thy wickedness: thou hast said, None seeth me. Thy wisdom and thy knowledge, it hath perverted thee; and thou hast said in thine heart, I am am , and none else beside me.
ISA.47.11	Hinali lang nga magaabot sa imo ang kalaglagan nga wala mo ginahunahuna.	Therefore shall evil come upon thee; thou shalt not know from whence it riseth: and mischief shall fall upon thee; thou shalt not be able to put it off: and desolation shall come upon thee suddenly, which which thou shalt not know.
ISA.47.12	Basi pa lang magmadinalag-on ka, ukon basi pa lang kulbaan ang imo mga kaaway.	Stand now with thine enchantments, and with the multitude of thy sorceries, wherein thou hast laboured from thy youth; if so be thou shalt be able to profit, if so be thou mayest prevail.
ISA.47.13	kag nagapropesiya kada bulan sang mga butang nga matabo sa imo.	Thou art wearied in the multitude of thy counsels. Let now the astrologers, the stargazers, the monthly prognosticators, stand up, and save thee from these things these things that shall come upon thee.
ISA.47.14	Indi puwede makapainit-init sa sini nga kalayo, kay puwerte ini kainit kay puwerte ini kainit .	Behold, they shall be as stubble; the fire shall burn them; they shall not deliver themselves from the power of the flame: there shall there shall not be be a coal to warm at, nor nor fire to sit before it.
ISA.47.15	Ang kada isa sa ila nagtalang kag indi sila makaluwas sa imo.	Thus shall they be unto thee with whom thou hast laboured, even even thy merchants, from thy youth: they shall wander every one to his quarter; none shall save thee.
ISA.47.2	para makita ang imo paa samtang nagatabok ka sa suba.	Take the millstones, and grind meal: uncover thy locks, make bare the leg, uncover the thigh, pass over the rivers.
ISA.47.3	Magabalos ako sa imo kag indi ko ikaw pagkaluoyan.” # 47:3 indi ko ikaw pagkaluoyan: Indi klaro ang buot silingon sang Hebreo sini. # 47:3 indi ko ikaw pagkaluoyan: Indi klaro ang buot silingon sang Hebreo sini. 47:3 indi ko ikaw pagkaluoyan: Indi klaro ang buot silingon sang Hebreo sini.	Thy nakedness shall be uncovered, yea, thy shame shall be seen: I will take vengeance, and I will not meet thee as thee as a man.
ISA.47.4	amo ang Balaan nga Dios sang Israel.	As for As for our redeemer, the LORD LORD of hosts is is his name, the Holy One of Israel.
ISA.47.5	Indi ka na pagtawgon nga rayna sang mga ginharian.	Sit thou silent, and get thee into darkness, O daughter of the Chaldeans: for thou shalt no more be called, The lady of kingdoms.
ISA.47.6	Bisan gani ang mga tigulang sa ila ginpintasan mo.	I was wroth with my people, I have polluted mine inheritance, and given them into thine hand: thou didst shew them no mercy; upon the ancient hast thou very heavily laid thy yoke.
ISA.47.7	Pero wala mo paghunahunaa ining imo mga ginhimo kag kon ano ang mangin resulta sini sa imo.	And thou saidst, I shall be a lady for ever: so so that thou didst not lay these things things to thy heart, neither didst remember the latter end of it.
ISA.47.8	Nagahunahuna ka nga indi ka gid mabalo ukon madulaan sang mga anak. # 47:8 Nagahunahuna…anak: Siguro ang buot silingon, nagahunahuna siya nga indi siya madulaan sang manugprotektar ukon manugbulig. # 47:8 Nagahunahuna…anak: Siguro ang buot silingon, nagahunahuna siya nga indi siya madulaan sang manugprotektar ukon manugbulig. 47:8 Nagahunahuna…anak: Siguro ang buot silingon, nagahunahuna siya nga indi siya madulaan sang manugprotektar ukon manugbulig.	Therefore hear now this, thou that art thou that art given to pleasures, that dwellest carelessly, that sayest in thine heart, I am am , and none else beside me; I shall not sit as as a widow, neither shall I know the loss of children:
ISA.47.9	Matabo gid ini tanan sa imo bisan madamo ka pa sang nahibaluan nga madyik ukon binabaylan.	but these two things things shall come to thee in a moment in one day, the loss of children, and widowhood: they shall come upon thee in their perfection for the multitude of thy sorceries, and and for the great abundance of thine enchantments.
ISA.48.1	“Pamati kamo nga mga kaliwat ni Jacob, kamo nga ginatawag Israel, kag naghalin sa tribo ni Juda. Nagasumpa kamo sa ngalan sang Ginoo Ginoo , kag nagatawag kamo sa Dios sang Israel. Pero indi ini sinsero, kay indi matarong ang inyo kabuhi.	Hear ye this, O house of Jacob, which are called by the name of Israel, and are come forth out of the waters of Judah, which swear by the name of the LORD LORD , and make mention of the God of Israel, but but not in truth, nor in righteousness.
ISA.48.10	Pamati! Tinluan ko kamo, pero indi pareho sa ginahimo sa pilak, kay tinluan ko kamo paagi sa pag-antos.	Behold, I have refined thee, but not with silver; I have chosen thee in the furnace of affliction.
ISA.48.11	Himuon ko ini para sa akon kadungganan. Indi gid ako magtugot nga mahuy-an ako kag mapadunggan ang iban nga dios.	For mine own sake, even even for mine own sake, will I do it: it: for how should my name my name be polluted? and I will not give my glory unto another.
ISA.48.12	“Pamati kamo sa akon, kamo nga taga-Israel nga akon ginpili. Ako ang Dios; ako ang ginsuguran kag ang katapusan sang tanan.	Hearken unto me, O Jacob and Israel, my called; I am am he; I am am the first, I also am am the last.
ISA.48.13	Ako mismo ang nagbutang sang pundasyon sang kalibutan kag naghumlad sang kalangitan. Kon magmando ako sa ila, ginatuman nila.	Mine hand also hath laid the foundation of the earth, and my right hand hath spanned the heavens: when when I call unto them, they stand up together.
ISA.48.14	“Magtipon kamo tanan kag magpamati: Sin-o bala sa mga dios-dios ang nagpropesiya nga salakayon sang akon abyan # 48:14 abyan: Siguro si Haring Cyrus. # 48:14 abyan: Siguro si Haring Cyrus. 48:14 abyan: Siguro si Haring Cyrus. ang Babilonia sa pagtuman sang akon plano kontra sa sini nga nasyon? Wala gid! Wala gid!	All ye, assemble yourselves, and hear; which among them hath declared these things? things? The LORD LORD hath loved him: he will do his pleasure on Babylon, and his arm shall be on shall be on the Chaldeans.
ISA.48.15	Ako mismo ang naghambal kag nagtawag sa iya. Suguon ko siya kag magmadinalag-on siya sa iya himuon.	I, even even I, have spoken; yea, I have called him: I have brought him, and he shall make his way prosperous.
ISA.48.16	Kag karon ang Ginoong Dios Dios kag ang iya Espiritu nagpadala sa akon sa pagsugid sini nga mensahi sa pagsugid sini nga mensahi :	Come ye near unto me, hear ye this; I have not spoken in secret from the beginning; from the time that it was, there am am I: and now the Lord GOD GOD , and his Spirit, hath sent me.
ISA.48.17	Nagasiling ang Ginoo Ginoo nga inyo Manluluwas, ang Balaan nga Dios sang Israel: “Ako ang Ginoo Ginoo nga inyo Dios nga nagtudlo sa inyo kon ano ang maayo para sa inyo kag nagtuytoy sa inyo sa husto nga dalan.	Thus saith the LORD LORD , thy Redeemer, the Holy One of Israel; I am am the LORD LORD thy God which teacheth thee to profit, which leadeth thee by the way that that thou shouldest go.
ISA.48.18	Kon nagpati lang kamo sa akon mga sugo, kuntani nag-ilig pareho sa suba ang mga kaayuhan sa inyo, kag nagsinunod-sunod lang kuntani ang inyo mga kadalag-an # 48:18 kadalag-an: ukon, pagkamatarong # 48:18 kadalag-an: ukon, pagkamatarong 48:18 kadalag-an: ukon, pagkamatarong pareho sa mga balod nga nagadapya sa higad.	O that thou hadst hearkened to my commandments! then had thy peace been as a river, and thy righteousness as the waves of the sea:
ISA.48.19	Ang inyo mga kaliwat mangin pareho kuntani kadamo sa balas nga indi maisip, kag indi gid sila malaglag sa akon atubangan.”	thy seed also had been as the sand, and the offspring of thy bowels like the gravel thereof; his name should not have been cut off nor destroyed from before me.
ISA.48.2	Ginatawag pa ninyo ang inyo kaugalingon nga mga pumuluyo sang balaan nga siyudad kag nagasiling kamo nga nagasalig kamo sa Dios sang Israel, nga ang iya ngalan Ginoo Ginoo nga Makagagahom.”	For they call themselves of the holy city, and stay themselves upon the God of Israel; The LORD LORD of hosts is is his name.
ISA.48.20	Maghalin kamo sa Babilonia! Isugid ninyo sing malipayon hasta sa pinakamalayo nga parte sang kalibutan nga ginluwas sang Ginoo Ginoo ang iya alagad, ang katawhan sang Israel. # 48:20 ang katawhan sang Israel: sa Hebreo, nga si Jacob # 48:20 ang katawhan sang Israel: sa Hebreo, nga si Jacob 48:20 ang katawhan sang Israel: sa Hebreo, nga si Jacob	Go ye forth of Babylon, flee ye from the Chaldeans, with a voice of singing declare ye, tell this, utter it even even to the end of the earth; say ye, The LORD LORD hath redeemed his servant Jacob.
ISA.48.21	Wala sila pag-uhawa sang ginpangunahan sila sang Dios sa mga kamingawan, kay ginpatubod niya ang tubig sa bato para sa ila. Ginbuka niya ang bato kag nagsagawak ang tubig.	And they thirsted not when when he led them through the deserts: he caused the waters to flow out of the rock for them: he clave the rock also, and the waters gushed out.
ISA.48.22	Pero nagasiling ang Ginoo Ginoo nga ang mga malain indi makaangkon sang maayo nga kahimtangan.	There is There is no peace, saith the LORD LORD , unto the wicked.
ISA.48.3	Nagasiling siya sa inyo, Nagasiling siya sa inyo, “Ginpropesiya ko na sang una kon ano ang matabo sa palaabuton. Kag sa hinali lang gintuman ko ini.	I have declared the former things from the beginning; and they went forth out of my mouth, and I shewed them; I did them them suddenly, and they came to pass.
ISA.48.4	Nahibaluan ko kon ano katig-a sang inyo ulo. Ang inyo liog daw pareho katig-a sang salsalon kag ang inyo agtang daw pareho katig-a sa saway.	Because I knew that thou art art obstinate, and thy neck is is an iron sinew, and thy brow brass;
ISA.48.5	Amo gani nga ginsugid ko na nga daan sa inyo ang akon himuon. Sa wala pa ini matabo ginpahibalo ko na ini sa inyo para indi kamo makasiling nga ang inyo mga dios-dios nga hinimo halin sa kahoy kag metal amo ang nagpropesiya kag nagtuman sini.	I have even from the beginning declared it it to thee; before it came to pass I shewed it it thee: lest thou shouldest say, Mine idol hath done them, and my graven image, and my molten image, hath commanded them.
ISA.48.6	Nabatian ninyo ang akon mga ginpropesiya kag nakita ninyo ang katumanan sini, pero indi ninyo pagbatunon nga ako ang naghimo sini. Sugod subong sugiran ko kamo sang bag-o nga mga butang nga wala ko pa ginpahayag sa inyo; wala pa ninyo mahibaluan.	Thou hast heard, see all this; and will not ye declare it? it? I have shewed thee new things from this time, even hidden things, and thou didst not know them.
ISA.48.7	Karon ko pa lang ini ginahimo kag wala pa sang una, para indi kamo makasiling nga nahibaluan na ninyo ini.	They are created now, and not from the beginning; even before the day when thou heardest them not; lest thou shouldest say, Behold, I knew them.
ISA.48.8	Wala kamo makabati ukon makaintiendi sini nga mga butang kay halin pa sang una nagpabungol-bungol kamo. Nahibaluan ko kon ano kamo ka maluibon, kay halin pa sang inyo pagkatawo mga rebelde na kamo.	Yea, thou heardest not; yea, thou knewest not; yea, from that time that that thine ear was not opened: for I knew that thou wouldest deal very treacherously, and wast called a transgressor from the womb.
ISA.48.9	Para sa akon kadungganan, punggan ko ang akon kaakig sa inyo, agod indi kamo malaglag.	For my name's sake will I defer mine anger, and for my praise will I refrain for thee, that I cut thee not off.
ISA.49.1	Pamati kamo sa akon, kamo nga ara sa malayo nga mga lugar. # 49:1 malayo nga mga lugar: ukon, mga isla; ukon, mga lugar nga malapit sa dagat # 49:1 malayo nga mga lugar: ukon, mga isla; ukon, mga lugar nga malapit sa dagat 49:1 malayo nga mga lugar: ukon, mga isla; ukon, mga lugar nga malapit sa dagat Sa wala pa ako matawo gintawag na ako sang Ginoo Ginoo nga mag-alagad sa iya.	Listen, O isles, unto me; and hearken, ye people, from far; The LORD LORD hath called me from the womb; from the bowels of my mother hath he made mention of my name.
ISA.49.10	Indi na sila paggutumon ukon pag-uhawon. Indi sila maano sang init sang adlaw ukon sang mainit nga hangin sang desierto. Kay ako nga nagakabalaka sa ila magatuytoy sa ila sa mga tuburan.	They shall not hunger nor thirst; neither shall the heat nor sun smite them: for he that hath mercy on them shall lead them, even by the springs of water shall he guide them.
ISA.49.11	Himuon ko nga dalan nila nila ang tanan ko nga mga bukid. Ang mataas nga mga lugar mangin karsada.	And I will make all my mountains a way, and my highways shall be exalted.
ISA.49.12	Magaabot ang akon katawhan halin sa malayo—ang iban halin sa north, ang iban sa west, kag ang iban pa gid halin sa Sinim.” # 49:12 Sinim: sa iban nga mga kopya sang Hebreo, Aswan, nga isa ka lugar sa south sang Egypt # 49:12 Sinim: sa iban nga mga kopya sang Hebreo, Aswan, nga isa ka lugar sa south sang Egypt 49:12 Sinim: sa iban nga mga kopya sang Hebreo, Aswan, nga isa ka lugar sa south sang Egypt	Behold, these shall come from far: and, lo, these from the north and from the west; and these from the land of Sinim.
ISA.49.13	ang iya katawhan nga nagaantos.	Sing, O heavens; and be joyful, O earth; and break forth into singing, O mountains: for the LORD LORD hath comforted his people, and will have mercy upon his afflicted.
ISA.49.14	Pero nagsiling ang katawhan sang Jerusalem, # 49:14 Jerusalem: sa Hebreo, Zion # 49:14 Jerusalem: sa Hebreo, Zion 49:14 Jerusalem: sa Hebreo, Zion “Ginsikway na kami sang Ginoo Ginoo ; ginkalimtan na niya kami.”	But Zion said, The LORD LORD hath forsaken me, and my Lord hath forgotten me.
ISA.49.15	Pero nagsabat ang Ginoo , Pero nagsabat ang Ginoo Ginoo , “Malipat bala ang isa ka iloy sa iya anak? Indi niya bala pagkabalak-an ang iya ginbata? Bisan malipat siya, indi gid ako malipat sa inyo!	Can a woman forget her sucking child, that she should not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee.
ISA.49.16	O Jerusalem indi ko gid ikaw malimtan Jerusalem indi ko gid ikaw malimtan . Ginsulat ko ang imo ngalan sa akon mga palad. Ginahunahuna ko permi nga mapatindog liwat ang imo mga pader.	Behold, I have graven thee upon the palms of my my hands; thy walls are are continually before me.
ISA.49.17	Madali na lang mag-abot ang magapatindog liwat sa imo, # 49:17 magapatindog liwat sa imo: Amo ini sa iban nga dumaan nga mga teksto. Sa Hebreo, ang imo mga anak (ukon kaliwat). # 49:17 magapatindog liwat sa imo: Amo ini sa iban nga dumaan nga mga teksto. Sa Hebreo, ang imo mga anak (ukon kaliwat). 49:17 magapatindog liwat sa imo: Amo ini sa iban nga dumaan nga mga teksto. Sa Hebreo, ang imo mga anak (ukon kaliwat). kag ang mga naglaglag sa imo magahalin na sa imo.	Thy children shall make haste; thy destroyers and they that made thee waste shall go forth of thee.
ISA.49.18	Tan-awa sa imo palibot, ang imo katawhan nagatipon na kag nagapalapit sa imo. Ako, ang Ginoo Ginoo nga buhi, nagasumpa nga ipabugal mo sila pareho sang pagpabugal sang kalaslon nga babayi sa mga alahas nga iya ginasuksok.	Lift up thine eyes round about, and behold: all these gather themselves together, and and come to thee. As As I live, saith the LORD LORD , thou shalt surely clothe thee with them all, as with an ornament, and bind them on thee on thee , as a bride doeth doeth .
ISA.49.19	“Nalaglag ka kag nangin mamingaw, pero karon puy-an ka na sang imo katawhan, kag puy-an ka na sang imo katawhan, kag halos indi sila makaigo sa imo. Kag atong mga naglaglag sa imo magapalayo.	For thy waste and thy desolate places, and the land of thy destruction, shall even now be too narrow by reason of the inhabitants, and they that swallowed thee up shall be far away.
ISA.49.2	Ginhimo niya ang akon mga pulong nga pareho katalom sang espada. Ginprotektaran niya ako sang iya gahom. Ginhimo niya ako nga pareho sa mahining nga pana nga handa na nga gamiton.	And he hath made my mouth like a sharp sword; in the shadow of his hand hath he hid me, and made me a polished shaft; in his quiver hath he hid me;
ISA.49.20	Ang imo katawhan nga natawo sang panahon sang imo pagpangasubo # 49:20 panahon sang imo pagpangasubo: Ang buot silingon, ang panahon sang pagkalaglag sang Jerusalem kag pagkabihag sang katawhan sini. # 49:20 panahon sang imo pagpangasubo: Ang buot silingon, ang panahon sang pagkalaglag sang Jerusalem kag pagkabihag sang katawhan sini. 49:20 panahon sang imo pagpangasubo: Ang buot silingon, ang panahon sang pagkalaglag sang Jerusalem kag pagkabihag sang katawhan sini. magasiling sa imo, ‘Tama ini kagamay nga lugar para sa amon. Kinahanglan namon ang mas dako pa nga lugar.’	The children which thou shalt have, after thou hast lost the other, shall say again in thine ears, The place is is too strait for me: give place to me that I may dwell.
ISA.49.21	Dayon masiling ka sa imo kaugalingon, ‘Sin-o bala ang nagbata sini sa ila para sa akon? Nagkalamatay ang kadam-an sang akon katawhan, # 49:21 katawhan: sa literal, mga anak. Amo man sa bersikulo 22. # 49:21 katawhan: sa literal, mga anak. Amo man sa bersikulo 22. 49:21 katawhan: sa literal, mga anak. Amo man sa bersikulo 22. kag tungod sini nagpangasubo ako. Ang iban sa ila ginbihag sa iban nga lugar, kag nag-isahanon na lang ako. Gani diin ini sila naghalalin? Sin-o ang nagsagod sa ila?’ ”	Then shalt thou say in thine heart, Who hath begotten me these, seeing I have lost my children, and am desolate, a captive, and removing to and fro? and who hath brought up these? Behold, I was left alone; these, where had had they been? been?
